x	y	z
0.169770	0.039795	0.391986
0.170571	0.040299	0.391816
0.171371	0.040807	0.391645
0.172172	0.041321	0.391473
0.172973	0.041839	0.391300
0.173774	0.042361	0.391127
0.174575	0.042889	0.390952
0.175375	0.043422	0.390777
0.176176	0.043959	0.390601
0.176977	0.044502	0.390424
0.177778	0.045049	0.390247
0.178579	0.045602	0.390069
0.179379	0.046159	0.389889
0.180180	0.046721	0.389709
0.180981	0.047289	0.389529
0.181782	0.047861	0.389347
0.182583	0.048438	0.389165
0.183383	0.049021	0.388982
0.184184	0.049609	0.388798
0.184985	0.050201	0.388613
0.185786	0.050799	0.388427
0.186587	0.051402	0.388241
0.187387	0.052010	0.388054
0.188188	0.052623	0.387866
0.188989	0.053241	0.387677
0.189790	0.053865	0.387487
0.190591	0.054494	0.387297
0.191391	0.055127	0.387106
0.192192	0.055767	0.386914
0.192993	0.056411	0.386721
0.193794	0.057060	0.386527
0.194595	0.057715	0.386333
0.195395	0.058375	0.386138
0.196196	0.059041	0.385942
0.196997	0.059711	0.385745
0.197798	0.060387	0.385548
0.198599	0.061068	0.385349
0.199399	0.061755	0.385150
0.200200	0.062447	0.384950
0.201001	0.063144	0.384749
0.201802	0.063846	0.384548
0.202603	0.064554	0.384345
0.203403	0.065267	0.384142
0.204204	0.065985	0.383938
0.205005	0.066709	0.383733
0.205806	0.067438	0.383527
0.206607	0.068173	0.383321
0.207407	0.068912	0.383114
0.208208	0.069658	0.382906
0.209009	0.070408	0.382697
0.209810	0.071164	0.382487
0.210611	0.071925	0.382277
0.211411	0.072692	0.382066
0.212212	0.073464	0.381854
0.213013	0.074241	0.381641
0.213814	0.075023	0.381427
0.214615	0.075811	0.381213
0.215415	0.076605	0.380998
0.216216	0.077403	0.380782
0.217017	0.078207	0.380565
0.217818	0.079017	0.380347
0.218619	0.079831	0.380129
0.219419	0.080651	0.379909
0.220220	0.081477	0.379689
0.221021	0.082307	0.379469
0.221822	0.083143	0.379247
0.222623	0.083984	0.379024
0.223423	0.084831	0.378801
0.224224	0.085683	0.378577
0.225025	0.086540	0.378352
0.225826	0.087402	0.378127
0.226627	0.088270	0.377900
0.227427	0.089143	0.377673
0.228228	0.090021	0.377445
0.229029	0.090904	0.377216
0.229830	0.091793	0.376986
0.230631	0.092686	0.376756
0.231431	0.093585	0.376525
0.232232	0.094489	0.376293
0.233033	0.095399	0.376060
0.233834	0.096313	0.375826
0.234635	0.097232	0.375592
0.235435	0.098157	0.375356
0.236236	0.099087	0.375120
0.237037	0.100021	0.374883
0.237838	0.100961	0.374646
0.238639	0.101906	0.374407
0.239439	0.102856	0.374168
0.240240	0.103811	0.373928
0.241041	0.104771	0.373687
0.241842	0.105736	0.373445
0.242643	0.106705	0.373203
0.243443	0.107680	0.372960
0.244244	0.108660	0.372715
0.245045	0.109644	0.372471
0.245846	0.110634	0.372225
0.246647	0.111628	0.371978
0.247447	0.112627	0.371731
0.248248	0.113630	0.371483
0.249049	0.114639	0.371234
0.249850	0.115652	0.370984
0.250651	0.116670	0.370734
0.251451	0.117693	0.370483
0.252252	0.118720	0.370231
0.253053	0.119752	0.369978
0.253854	0.120789	0.369724
0.254655	0.121830	0.369469
0.255455	0.122876	0.369214
0.256256	0.123926	0.368958
0.257057	0.124981	0.368701
0.257858	0.126040	0.368443
0.258659	0.127104	0.368185
0.259459	0.128172	0.367925
0.260260	0.129245	0.367665
0.261061	0.130322	0.367404
0.261862	0.131403	0.367143
0.262663	0.132489	0.366880
0.263463	0.133578	0.366617
0.264264	0.134673	0.366353
0.265065	0.135771	0.366088
0.265866	0.136873	0.365822
0.266667	0.137980	0.365556
0.267467	0.139091	0.365288
0.268268	0.140206	0.365020
0.269069	0.141325	0.364751
0.269870	0.142448	0.364481
0.270671	0.143575	0.364211
0.271471	0.144706	0.363940
0.272272	0.145841	0.363667
0.273073	0.146980	0.363394
0.273874	0.148122	0.363121
0.274675	0.149269	0.362846
0.275475	0.150420	0.362571
0.276276	0.151574	0.362295
0.277077	0.152732	0.362018
0.277878	0.153894	0.361740
0.278679	0.155059	0.361461
0.279479	0.156228	0.361182
0.280280	0.157401	0.360902
0.281081	0.158578	0.360621
0.281882	0.159758	0.360339
0.282683	0.160942	0.360057
0.283483	0.162129	0.359773
0.284284	0.163320	0.359489
0.285085	0.164514	0.359204
0.285886	0.165711	0.358918
0.286687	0.166913	0.358632
0.287487	0.168117	0.358344
0.288288	0.169325	0.358056
0.289089	0.170536	0.357767
0.289890	0.171751	0.357477
0.290691	0.172969	0.357187
0.291491	0.174190	0.356895
0.292292	0.175414	0.356603
0.293093	0.176642	0.356310
0.293894	0.177873	0.356016
0.294695	0.179107	0.355722
0.295495	0.180344	0.355427
0.296296	0.181585	0.355130
0.297097	0.182829	0.354833
0.297898	0.184075	0.354536
0.298699	0.185325	0.354237
0.299499	0.186578	0.353938
0.300300	0.187834	0.353637
0.301101	0.189093	0.353336
0.301902	0.190355	0.353035
0.302703	0.191620	0.352732
0.303504	0.192889	0.352429
0.304304	0.194160	0.352124
0.305105	0.195434	0.351819
0.305906	0.196711	0.351513
0.306707	0.197991	0.351207
0.307508	0.199275	0.350899
0.308308	0.200561	0.350591
0.309109	0.201850	0.350282
0.309910	0.203142	0.349972
0.310711	0.204437	0.349662
0.311512	0.205735	0.349350
